City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Majene,ID,77.83,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
3,Kyaikkami,MM,80.2,light rain,16.08,97.5675,Happy Family Kyaikkami
4,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Atuona,PF,76.62,scattered clouds,-9.8,-139.0333,Villa Enata
13,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
18,Maneadero,MX,86.18,clear sky,31.7167,-116.5667,Casa De Thompson
19,Lancaster,US,77.95,few clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
20,Victoria,HK,86.38,moderate rain,22.2855,114.1577,Mini Hotel Central
21,Tautira,PF,75.22,broken clouds,-17.7333,-149.15,Pension Oaoa
22,Cayenne,GF,89.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
27,Bara,NG,78.44,overcast clouds,10.3744,10.7288,
28,Namatanai,PG,78.06,light rain,-3.6667,152.4333,Seagulls Inn Namatani
31,Agua Preta,BR,79.0,scattered clouds,-8.7075,-35.5306,Motel Paraíso
34,Adiake,CI,80.19,broken clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
43,Lincoln,US,79.02,haze,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
46,Enshi,CN,75.11,scattered clouds,30.3,109.4833,Moevenpick Enshi
52,Bethel,US,76.35,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
54,Hithadhoo,MV,81.63,broken clouds,-0.6,73.0833,Scoop Guest House
58,Wajima,JP,78.44,clear sky,37.4,136.9,Wajiima Onsen Yashio
61,Fort Nelson,CA,81.32,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
62,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
63,Pundaguitan,PH,83.73,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
69,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
70,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
71,Hilo,US,77.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
72,Najran,SA,85.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
75,Imamoglu,TR,85.71,clear sky,37.2651,35.6572,İSAK TATAR
76,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
78,Pangai,TO,75.56,light rain,-19.8,-174.35,Ha'apai Beach Resort
83,Butaritari,KI,80.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
84,High Level,CA,80.24,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
92,Yellowknife,CA,77.29,clear sky,62.456,-114.3525,The Explorer Hotel
94,Porto Novo,BJ,78.19,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
97,Port-Gentil,GA,76.17,few clouds,-0.7193,8.7815,Fengshui Residence
100,Sao Filipe,CV,76.62,broken clouds,14.8961,-24.4956,Hotel Xaguate
103,Wheeling,US,80.02,scattered clouds,42.1392,-87.929,The Westin Chicago North Shore
105,Luwuk,ID,76.12,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
106,Thinadhoo,MV,82.71,overcast clouds,0.5333,72.9333,
107,Kavaratti,IN,81.52,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
