City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-07-28 05:19:57,-34.5322,20.0403,49.32,81,100,4.61
1,Hasaki,JP,2021-07-28 05:20:29,35.7333,140.8333,88.29,79,100,22.46
2,Rikitea,PF,2021-07-28 05:18:57,-23.1203,-134.9692,74.55,80,100,14.2
3,Qaanaaq,GL,2021-07-28 05:19:18,77.484,-69.3632,42.46,90,98,5.06
4,New Norfolk,AU,2021-07-28 05:20:30,-42.7826,147.0587,56.91,58,47,5.99
5,Souillac,MU,2021-07-28 05:20:30,-20.5167,57.5167,70.18,78,75,18.41
6,Vila,PT,2021-07-28 05:20:31,42.0304,-8.1588,50.88,86,10,5.32
7,Sucre,BO,2021-07-28 05:20:31,-19.0333,-65.2627,41.97,82,94,4.63
8,Airai,TL,2021-07-28 05:20:32,-8.9266,125.4092,76.73,39,64,4.79
9,Puerto Rico,AR,2021-07-28 05:20:32,-26.796,-55.024,36.84,67,0,1.28
10,Vaini,TO,2021-07-28 05:20:33,-21.2,-175.2,69.96,78,75,6.91
11,Codrington,AU,2021-07-28 05:20:33,-38.2667,141.9667,49.55,76,96,24.34
12,Saint-Philippe,RE,2021-07-28 05:20:34,-21.3585,55.7679,67.59,91,90,19.01
13,Bethel,US,2021-07-28 05:19:24,41.3712,-73.414,71.96,89,90,3.44
14,Kapaa,US,2021-07-28 05:20:34,22.0752,-159.319,82.38,75,40,3.0
15,Punta Arenas,CL,2021-07-28 05:18:56,-53.15,-70.9167,44.71,93,75,20.71
16,Jamestown,US,2021-07-28 05:20:03,42.097,-79.2353,67.71,88,20,1.63
17,Omsukchan,RU,2021-07-28 05:20:35,62.5333,155.8,45.91,72,100,9.15
18,Cidreira,BR,2021-07-28 05:20:36,-30.1811,-50.2056,45.07,63,4,17.94
19,Port Hardy,CA,2021-07-28 05:20:36,50.6996,-127.4199,59.18,72,75,3.44
20,Hanyang,CN,2021-07-28 05:20:37,32.1371,105.5126,86.0,49,4,6.87
21,Torbay,CA,2021-07-28 05:20:37,47.6666,-52.7314,65.75,98,90,12.66
22,Chulym,RU,2021-07-28 05:20:37,55.0997,80.9572,62.17,58,100,4.85
23,Sydney,AU,2021-07-28 05:17:45,-33.8679,151.2073,77.32,35,0,1.01
24,Broome,US,2021-07-28 05:20:38,42.2506,-75.833,65.89,96,90,3.44
25,Chuy,UY,2021-07-28 05:20:38,-33.6971,-53.4616,44.26,81,68,14.14
26,Matamoros,MX,2021-07-28 05:20:39,25.5333,-103.25,82.11,39,22,15.7
27,Busselton,AU,2021-07-28 05:20:39,-33.65,115.3333,62.04,66,54,21.32
28,East London,ZA,2021-07-28 05:20:40,-33.0153,27.9116,58.14,88,20,0.0
29,Stykkisholmur,IS,2021-07-28 05:20:40,65.0757,-22.7297,50.04,95,100,11.65
